onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	010001001001011010001101010011111100100001010000110110011000101110100111011000101001010001100010011011001000001011100111001011000001011011000101
34	6	rest	null
40	6	stimulus_random	010001100100001000001110110010000010011011111001111111101110010111111100100110010111110100010011000100111110101010010011001111110010001100011110
46	6	rest	null
52	6	stimulus_random	001010111001110110001011000011101110000111111110111011101101000000100101110011001000011001010001110010110101110100010110010010100000110011100011
58	6	rest	null
64	6	stimulus_random	100011001101010000010001010100100001000100110000111101001001010110011100101011010110100111111110100101110111110101111101001111111101000100110111
70	6	rest	null
76	6	stimulus_random	100110101001001011011101100110100000101100010011101101100111011110010001010111000001011011100101101011000011011101001011110110111000111110010101
82	6	rest	null
88	6	stimulus_random	011000000101101111001010101111110001101001111000111010111111111100111110011110010110011110011001001100110011101101001011100111100010111011111111
94	6	rest	null
100	6	stimulus_random	111011111100011001101111011011001010000100101011100001001110100110100110101111011011000010000101010001000010111101101111000110000100111010100111
106	6	rest	null
112	6	stimulus_random	110100011010100011111101011101110101111110111101111111010001101111010001110000010011001100100010100100011110001101100101000100110111110010110100
118	6	rest	null
124	6	stimulus_random	000011101000100101011100110000010100111100111101111100011101100000110100111111001110001001011001010001011001010001100110110101001010000100110000
130	6	rest	null
136	6	stimulus_random	111010000100110001101010010111011100101111011100000111001001010001111111011101011101110011000010101011001101010010001010111110101010111010010010
142	6	rest	null
148	6	stimulus_random	101100000111011100011000000100101100011100000110111110101011001100010110001110110001010111010110110100100001000110010011000100010011001001010000
154	6	rest	null
160	6	stimulus_random	010000111110110010110110001111011101001111011000101011000111100100000111100111000000100101001010100101111111010010111010100111011000101101100110
166	6	rest	null
172	6	stimulus_random	100111011001000101101000110011001000100001111000110000110110001010011101101111101001001011010000100101011101010011100001110000000011010011001001
178	6	rest	null
184	6	stimulus_random	100011001100110100111010110111110010100010110000101101100101010101010101011101000000001100010111110001011100001010010101101010001111000111010010
190	6	rest	null
196	6	stimulus_random	101010000011011101110001011111011011000001111100010100011101011100011010110110000101011001001110111010011011101111111111111010000111100111111101
202	6	rest	null
208	6	stimulus_random	100000100011110110010011111000001001110010100100010111110001000001010000100001011010110001100111111010000010110100011110111110001011100111100100
214	6	rest	null
220	6	stimulus_random	101011110001001000111001010010100100010011110000011100001001111000111100111111010111000101010100010011000111011111010110001111100010111110111011
226	6	rest	null
232	6	stimulus_random	111111001011110000101100011100010110000110100111101010111100111100001011110100100010000001010101010001100011100100111101000111010101010000010001
238	6	rest	null
244	6	stimulus_random	010101010100110110000010001000010000101000101000110000110001111110110010000001001100001111000110000111010110001011100101101011111010110011111110
250	6	rest	null
256	6	stimulus_random	101110010101101011001111000011000010011011110000010111000111011110010111101001101110011001100111111101110010110001010011000110010000000110101011
262	6	rest	null
268	6	stimulus_random	011001100010010000101011110110000100100111110100101000110111010110101110100111100000110110011100110011011101001000110000111101100100100111101010
274	6	rest	null
280	6	stimulus_random	011100111101011000000010101001011101000010110010001000110011100110001101111111010001100110000000100111010000010011001100100000001111111000001101
286	12	rest	null
