onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	100000111111000011110110111001111111010001010001100000111100000110101011000110100101110010010110111011011000101000101011110001001011110001100111
34	6	rest	null
40	6	stimulus_random	111000000110110101010100110000100101000011010010011110000010110100110001000111110011010011001101011110001010111001110110100111110011100111100001
46	6	rest	null
52	6	stimulus_random	100001101100011011101011101010111101011101001110101011010010000001100110101000111111100101100010111001101100101011000000100011000110010100011000
58	6	rest	null
64	6	stimulus_random	010101100111000111010001100001001001000101010111100010000101111000100110011010110110110001110011110001000000000000010100100010110101011111011001
70	6	rest	null
76	6	stimulus_random	011101110000101111001101110100011111111110111010110000110011000000110111010101100001111111001010000000110011010010001010111000111110010110010110
82	6	rest	null
88	6	stimulus_random	110110000001100111110100100010110010001000101111011111101010101100101001110101010101101101010100101110101011110111011111111000101101011110100010
94	6	rest	null
100	6	stimulus_random	001100110110001000100001100110110010011010011101111100110100001010001101000000011100001111000110111001111000100111101101000100100011101110111010
106	6	rest	null
112	6	stimulus_random	011011010101111110010010110010101101010001110111110110000101110001100001011101110010111111010011011111100100000111010011100000101011010011100110
118	6	rest	null
124	6	stimulus_random	110100010110110000001000010101000011100011001111001111111011001010001111001110011001101110110010111010000011110010100010000011110100111010001011
130	6	rest	null
136	6	stimulus_random	110010101000010101000000110011000000011101010110001001010110100111001111111111110111101100101111100000010000011001100110010001100100010110010101
142	6	rest	null
148	6	stimulus_random	110000000100100100001100011110000101100010010000001010101000111110111010011000100011011111111001100001101100101100010010001001100101101000110010
154	6	rest	null
160	6	stimulus_random	101000101001111001011101110010010010010110110111101100111100100010101100011011010101111100001110011011000100110011011000001110000010111000100000
166	6	rest	null
172	6	stimulus_random	100010111101111000110011100001001011011101010000100111000000010001011100011111010011010000011011001101010110000011011101111011000001100001100001
178	6	rest	null
184	6	stimulus_random	000101011100100111110011010001110110010110001110110011010001100100001100111010001100011111011011100100011100101100100111110110001011110100000011
190	6	rest	null
196	6	stimulus_random	000100111011010010110011011110111110110111101000100000110101010110100110011010010011001010101000110100110110111001101110110111011001110000100000
202	6	rest	null
208	6	stimulus_random	100010100000101101110011011001011000110110001001111010110101000100101100100010000111111100010010011001010000010001011100100010010101111100110100
214	6	rest	null
220	6	stimulus_random	010010110001110010010101110101111000001010110001110111110101101111010110011001100101111101011001000110001001101101100010001000110010101011000000
226	6	rest	null
232	6	stimulus_random	100000011110001000101000010011010100001100001111010100010110110100100011001110011100111111100011001101111111010101101011010011101101100101010001
238	6	rest	null
244	6	stimulus_random	011011011000111010111100100010100000101111000011001000111111011111001011000011011011100010000010101011110010101010110110000001101111101111101011
250	6	rest	null
256	6	stimulus_random	111001110011110010001111001010001100011001101010001001111100010110001011100011100010000100100001110101100010011110101011000011100001111001011101
262	6	rest	null
268	6	stimulus_random	101001011100000110001100111011001100001010001010000100011011100100010110010000110110010101101110000011001000001010011011001111100110010010100000
274	6	rest	null
280	6	stimulus_random	100000011101100101101001101101101100100011010000000110101110000011111111100001001111000000100010111011100111001001010101101101001010100100011101
286	12	rest	null
