onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	010011001001010110111001010111110101001011001011110110100011010010101111000111111101010000011000111010101110000010110111101001001101111001010110
34	6	rest	null
40	6	stimulus_random	010110001001011110011011011011011101000110100110001100010101001101000010111010001111010001001001001110100110110011100101001010100100100010010110
46	6	rest	null
52	6	stimulus_random	100000000010001001101101010111000101101000100010000101000100010101110011010010000101000011101011110101011001110010101100100101111100000100011100
58	6	rest	null
64	6	stimulus_random	000111011111011101001110000100010100101010001110000110001011010110100100000010001010101001000010001010010001111100110010010110110011011101010111
70	6	rest	null
76	6	stimulus_random	110100101111100111011011011101101110011101111011001000100100101111111100011001011100101011000101011011100110111010001110100000010100000000111110
82	6	rest	null
88	6	stimulus_random	001001110100110111001011101010100111000111001111100000010110111100011100011111011000101100101100011111011010110100001000100101001001111110101011
94	6	rest	null
100	6	stimulus_random	011010011101000110011100000100000111010111100110001010110111011101000101110010010010011110011100000000110001101010011111111010010111000101111110
106	6	rest	null
112	6	stimulus_random	101101001000101101101110001010011011101110111010101001010101001100111000001000001010001101100001110110110011100110110011100111001100100101001010
118	6	rest	null
124	6	stimulus_random	011101001001010011001001001110000110011010010111000000111111000011101111001010100101000000110100101111000011001101010000010000000010001110100101
130	6	rest	null
136	6	stimulus_random	101011101101011110000011000111101100001100101101101001110011101111101001010110001010000001110010000110110110011011010000010110100010011010111111
142	6	rest	null
148	6	stimulus_random	101010110000010101111001110010111000101001111001110010101111101000001111010110001011011110101000010111111010100001010100101110001111101100000010
154	6	rest	null
160	6	stimulus_random	100001101101100001101011000111000100110010000010111111010110011010010000100001011100100101100010010111110101101000100100000000010001110000101010
166	6	rest	null
172	6	stimulus_random	000110111100000110000111100011111100011000111110100011111111110011110010001110110111101111011101111110011110001001000101010100001010101101010011
178	6	rest	null
184	6	stimulus_random	101101001111000010010011001100000100100010110110000101010110000000110111000101010011010011110100111110100011000010110001111110101001001101101000
190	6	rest	null
196	6	stimulus_random	010111101001101010010100001101001110011010010110101011000111000000101101100011010110101011100011000110110010011000101001011110101100011101110001
202	6	rest	null
208	6	stimulus_random	000100111000001101011001011100101001010101001001000010010011100000001110111001100111110000010001110100011010100100100110100110101110100101011010
214	6	rest	null
220	6	stimulus_random	011100111001100000000001100101001010011010001111111000000100101110011011101101111100111110111010111110101011110110101000111101100000101110100011
226	6	rest	null
232	6	stimulus_random	001000001101000111001000100001011100001011001110000100010000110010101010100110010111111110001011110001000010001111000000100011011010111100110100
238	6	rest	null
244	6	stimulus_random	011110010010100111100000001110001110100101000110000110011001110110000000101110010001000101100010100001110110101101110111000110100000001110011100
250	6	rest	null
256	6	stimulus_random	000001111001000011000011101010000010010011000000111011111001000010100001000111111111101111101111011001101100010011111010101010100001100010010011
262	6	rest	null
268	6	stimulus_random	110001011111010010110101110001000011000010001000011000101011100101111110010010100001101010000111111001101010000100001011100111111010000010111100
274	6	rest	null
280	6	stimulus_random	110000110011001000111001100101011010001000000001010100011001110011100111000000001000001100000001100111111000010001010101010111010011100100100110
286	12	rest	null
